	kg	m3
CL2#1	60	0,66
CL2#2	11	0,08
CL2#3	117	0,55
CL2#4	27	0,28
CL2#5	176	0,43
CL2#6	48	0,21
CL2#7	190	2,95
CL2#8	150	1,38
CL2#9	143	0,36
CL2#10	183	2,26
CL2#11	98	1,09
CL2#12	153	2,4
CL2#13	101	0,4
CL2#14	41	0,13
CL2#15	181	1,9
CL2#16	158	2,52
CL2#17	58	0,55
CL2#18	139	1,73
CL2#19	85	1,11
CL2#20	205	2,92
CL2#21	62	0,68
CL2#22	81	1
CL2#23	74	0,53
CL2#24	46	0,25
CL2#25	49	0,73
CL2#26	67	0,29
CL2#27	109	0,49
CL2#28	71	0,16
CL2#29	164	2,26
CL2#30	187	1,28
CL2#31	207	2,15
CL2#32	95	0,23
CL2#33	179	1,71
CL2#34	172	1,91
CL2#35	216	0,33
CL2#36	17	0,12
CL2#37	136	0,72
CL2#38	190	2,25
CL2#39	211	3,38
CL2#40	141	1,7
CL2#41	184	2,45
CL2#42	124	0,74
CL2#43	89	0,65
CL2#44	60	0,47
CL2#45	94	1,51
CL2#46	40	0,15
CL2#47	108	1,43
CL2#48	164	2,01
CL2#49	182	2,37
CL2#50	119	0,65
CL2#51	221	1,3
CL2#52	188	1,75
CL2#53	198	3,03
CL2#54	19	0,07
CL2#55	165	1,17
CL2#56	200	1,01
CL2#57	162	0,95
CL2#58	71	0,2
CL2#59	131	1,31
CL2#60	193	1,92
CL2#61	187	0,58
CL2#62	219	2,44
CL2#63	18	0,23
CL2#64	26	0,1
CL2#65	148	1,74
CL2#66	180	1,05
CL2#67	187	1,59
CL2#68	42	0,67
CL2#69	49	0,47
CL2#70	173	0,28
CL2#71	91	1,05
CL2#72	98	1,04
CL2#73	68	0,67
CL2#74	115	0,54
CL2#75	215	3,11
CL2#76	104	1,29
CL2#77	211	2,49
CL2#78	143	0,6
CL2#79	15	0,04
CL2#80	38	0,43
CL2#81	47	0,16
CL2#82	153	0,35
CL2#83	63	0,49
CL2#84	169	1,74
CL2#85	202	2,09
CL2#86	195	1,64
CL2#87	140	1,89
CL2#88	47	0,71
CL2#89	19	0,06
CL2#90	176	0,24
CL2#91	108	1,4
CL2#92	34	0,12
CL2#93	183	2,79
CL2#94	194	1,38
CL2#95	125	0,27
CL2#96	23	0,2
CL2#97	30	0,11
CL2#98	162	0,84	
