	kgs	m3				
CL3#1	249	2,294				
CL3#2	57	1,334				
CL3#3	75	0,387				
CL3#4	115	0,7				
CL3#5	83	0,502				
CL3#6	246	2,09				
CL3#7	287	0,892				
CL3#8	78	2,336				
CL3#9	293	0,518				
CL3#10	78	1,999				
CL3#11	224	1,001				
CL3#12	83	1,923				
CL3#13	253	0,637				
CL3#14	194	2,149				
CL3#15	279	1,665				
CL3#16	172	0,455				
CL3#17	188	0,54				
CL3#18	206	1,903				
CL3#19	103	2,198				
CL3#20	172	1,452				
CL3#21	163	1,345				
CL3#22	204	1,342				
CL3#23	210	0,522				
CL3#24	210	2,353				
CL3#25	95	1,035				
CL3#26	159	2,279				
CL3#27	221	1,63				
CL3#28	229	1,641				
CL3#29	75	0,874				
CL3#30	91	2,218				
CL3#31	155	0,923				
CL3#32	114	0,557				
CL3#33	263	0,377				
CL3#34	135	1,893				
CL3#35	95	2,286				
CL3#36	102	2,322				
CL3#37	243	1,37				
CL3#38	215	0,901				
CL3#39	87	2,107				
CL3#40	225	0,507				
CL3#41	275	2,355				
CL3#42	286	0,635				
CL3#43	85	1,228				
CL3#44	262	1,092				
CL3#45	150	1,644				
CL3#46	231	0,528				
CL3#47	165	0,653				
CL3#48	75	1,859				
CL3#49	98	0,895				
CL3#50	139	2,186				
CL3#51	64	0,488				
CL3#52	194	0,961				
CL3#53	293	1,339				
CL3#54	223	1,051				
CL3#55	274	1,29				
CL3#56	65	2,178				
CL3#57	179	1,414				
CL3#58	193	1,697				
CL3#59	275	0,811				
CL3#60	189	2,133				
CL3#61	112	1,222				
CL3#62	220	1,18				
CL3#63	277	1,463				
CL3#64	112	0,516				
CL3#65	201	0,64				
CL3#66	143	1,943				
CL3#67	254	0,751				
CL3#68	269	1,084				
CL3#69	165	2,185				
CL3#70	251	1,441				
CL3#71	292	1,934				
CL3#72	292	1,276				
CL3#73	78	1,755				
CL3#74	120	0,538				
CL3#75	183	0,957				
CL3#76	57	0,511				
CL3#77	131	1,421				
CL3#78	292	0,756				
CL3#79	146	0,394				
CL3#80	56	1,989				
CL3#81	231	0,509				
CL3#82	73	0,834				
CL3#83	279	0,512				
CL3#84	107	1,452				
CL3#85	248	2,213				
CL3#86	177	2,073				
CL3#87	220	0,543				
CL3#88	221	0,777				
CL3#89	101	1,39				
CL3#90	192	1,475				
CL3#91	293	1,199				
CL3#92	212	1,323				
