	kgs	m3
CL1#1	22	0,11
CL1#2	39	0,12
CL1#3	42	0,13
CL1#4	29	0,14
CL1#5	27	0,15
CL1#6	44	0,17
CL1#7	27	0,18
CL1#8	22	0,2
CL1#9	56	0,22
CL1#10	31	0,22
CL1#11	43	0,23
CL1#12	30	0,24
CL1#13	35	0,25
CL1#14	63	0,26
CL1#15	29	0,27
CL1#16	35	0,28
CL1#17	34	0,28
CL1#18	46	0,29
CL1#19	34	0,3
CL1#20	81	0,3
CL1#21	78	0,3
CL1#22	67	0,31
CL1#23	92	0,32
CL1#24	37	0,32
CL1#25	44	0,32
CL1#26	54	0,34
CL1#27	67	0,37
CL1#28	122	0,39
CL1#29	51	0,42
CL1#30	117	0,43
CL1#31	53	0,44
CL1#32	106	0,46
CL1#33	100	0,49
CL1#34	85	0,49
CL1#35	106	0,5
CL1#36	142	0,5
CL1#37	58	0,51
CL1#38	94	0,53
CL1#39	63	0,53
CL1#40	167	0,54
CL1#41	162	0,57
CL1#42	103	0,57
CL1#43	133	0,58
CL1#44	125	0,6
CL1#45	130	0,64
CL1#46	136	0,65
CL1#47	70	0,65
CL1#48	108	0,66
CL1#49	236	0,68
CL1#50	119	0,68
CL1#51	133	0,71
CL1#52	191	0,71
CL1#53	105	0,72
CL1#54	118	0,75
CL1#55	137	0,76
CL1#56	111	0,78
CL1#57	100	0,78
CL1#58	157	0,79
CL1#59	133	0,79
CL1#60	171	0,79
CL1#61	142	0,81
CL1#62	89	0,81
CL1#63	112	0,88
CL1#64	237	0,9
CL1#65	181	0,9
CL1#66	134	0,91
CL1#67	131	0,91
CL1#68	171	0,91
CL1#69	189	0,93
CL1#70	132	0,97
CL1#71	129	1
CL1#72	170	1
CL1#73	239	1,01
CL1#74	157	1,03
CL1#75	184	1,04
CL1#76	150	1,08
CL1#77	187	1,08
CL1#78	197	1,1
CL1#79	222	1,1
CL1#80	134	1,11
CL1#81	172	1,11
CL1#82	202	1,13
CL1#83	134	1,16
CL1#84	237	1,16
CL1#85	137	1,17
CL1#86	137	1,22
CL1#87	166	1,23
CL1#88	144	1,25
CL1#89	151	1,32
CL1#90	193	1,34
CL1#91	162	1,34
CL1#92	159	1,39
CL1#93	224	1,41
CL1#94	163	1,42
CL1#95	204	1,48
CL1#96	224	1,51
CL1#97	223	1,58
CL1#98	222	1,77
CL1#99	204	1,87
